id,name,base_experience,height,weight,hp,attack,defense,special-attack,special-defense,speed,is_baby,is_mythical,is_legendary
52,meowth,58,4,42,40,45,35,40,40,90,False,False,False
53,persian,154,10,320,65,70,60,65,65,115,False,False,False
54,psyduck,64,8,196,50,52,48,65,50,55,False,False,False
55,golduck,175,17,766,80,82,78,95,80,85,False,False,False
56,mankey,61,5,280,40,80,35,35,45,70,False,False,False
57,primeape,159,10,320,65,105,60,60,70,95,False,False,False
58,growlithe,70,7,190,55,70,45,70,50,60,False,False,False
59,arcanine,194,19,1550,90,110,80,100,80,95,False,False,False
60,poliwag,60,6,124,40,50,40,40,40,90,False,False,False
61,poliwhirl,135,10,200,65,65,65,50,50,90,False,False,False
62,poliwrath,230,13,540,90,95,95,70,90,70,False,False,False
63,abra,62,9,195,25,20,15,105,55,90,False,False,False
64,kadabra,140,13,565,40,35,30,120,70,105,False,False,False
65,alakazam,225,15,480,55,50,45,135,95,120,False,False,False
66,machop,61,8,195,70,80,50,35,35,35,False,False,False
67,machoke,142,15,705,80,100,70,50,60,45,False,False,False
68,machamp,227,16,1300,90,130,80,65,85,55,False,False,False
69,bellsprout,60,7,40,50,75,35,70,30,40,False,False,False
70,weepinbell,137,10,64,65,90,50,85,45,55,False,False,False
71,victreebel,221,17,155,80,105,65,100,70,70,False,False,False
72,tentacool,67,9,455,40,40,35,50,100,70,False,False,False
73,tentacruel,180,16,550,80,70,65,80,120,100,False,False,False
74,geodude,60,4,200,40,80,100,30,30,20,False,False,False
75,graveler,137,10,1050,55,95,115,45,45,35,False,False,False
76,golem,223,14,3000,80,120,130,55,65,45,False,False,False
77,ponyta,82,10,300,50,85,55,65,65,90,False,False,False
78,rapidash,175,17,950,65,100,70,80,80,105,False,False,False
79,slowpoke,63,12,360,90,65,65,40,40,15,False,False,False
80,slowbro,172,16,785,95,75,110,100,80,30,False,False,False
81,magnemite,65,3,60,25,35,70,95,55,45,False,False,False
82,magneton,163,10,600,50,60,95,120,70,70,False,False,False
83,farfetchd,132,8,150,52,90,55,58,62,60,False,False,False
84,doduo,62,14,392,35,85,45,35,35,75,False,False,False
85,dodrio,165,18,852,60,110,70,60,60,110,False,False,False
86,seel,65,11,900,65,45,55,45,70,45,False,False,False
87,dewgong,166,17,1200,90,70,80,70,95,70,False,False,False
88,grimer,65,9,300,80,80,50,40,50,25,False,False,False
89,muk,175,12,300,105,105,75,65,100,50,False,False,False
90,shellder,61,3,40,30,65,100,45,25,40,False,False,False
91,cloyster,184,15,1325,50,95,180,85,45,70,False,False,False
92,gastly,62,13,1,30,35,30,100,35,80,False,False,False
93,haunter,142,16,1,45,50,45,115,55,95,False,False,False
94,gengar,225,15,405,60,65,60,130,75,110,False,False,False
95,onix,77,88,2100,35,45,160,30,45,70,False,False,False
96,drowzee,66,10,324,60,48,45,43,90,42,False,False,False
97,hypno,169,16,756,85,73,70,73,115,67,False,False,False
98,krabby,65,4,65,30,105,90,25,25,50,False,False,False
99,kingler,166,13,600,55,130,115,50,50,75,False,False,False
100,voltorb,66,5,104,40,30,50,55,55,100,False,False,False
101,electrode,172,12,666,60,50,70,80,80,150,False,False,False
102,exeggcute,65,4,25,60,40,80,60,45,40,False,False,False
103,exeggutor,186,20,1200,95,95,85,125,75,55,False,False,False
104,cubone,64,4,65,50,50,95,40,50,35,False,False,False
105,marowak,149,10,450,60,80,110,50,80,45,False,False,False
106,hitmonlee,159,15,498,50,120,53,35,110,87,False,False,False
107,hitmonchan,159,14,502,50,105,79,35,110,76,False,False,False
108,lickitung,77,12,655,90,55,75,60,75,30,False,False,False
109,koffing,68,6,10,40,65,95,60,45,35,False,False,False
110,weezing,172,12,95,65,90,120,85,70,60,False,False,False
111,rhyhorn,69,10,1150,80,85,95,30,30,25,False,False,False
112,rhydon,170,19,1200,105,130,120,45,45,40,False,False,False
113,chansey,395,11,346,250,5,5,35,105,50,False,False,False
114,tangela,87,10,350,65,55,115,100,40,60,False,False,False
115,kangaskhan,172,22,800,105,95,80,40,80,90,False,False,False
116,horsea,59,4,80,30,40,70,70,25,60,False,False,False
117,seadra,154,12,250,55,65,95,95,45,85,False,False,False
118,goldeen,64,6,150,45,67,60,35,50,63,False,False,False
119,seaking,158,13,390,80,92,65,65,80,68,False,False,False
120,staryu,68,8,345,30,45,55,70,55,85,False,False,False
121,starmie,182,11,800,60,75,85,100,85,115,False,False,False
122,mr-mime,161,13,545,40,45,65,100,120,90,False,False,False
123,scyther,100,15,560,70,110,80,55,80,105,False,False,False
124,jynx,159,14,406,65,50,35,115,95,95,False,False,False
125,electabuzz,172,11,300,65,83,57,95,85,105,False,False,False
126,magmar,173,13,445,65,95,57,100,85,93,False,False,False
127,pinsir,175,15,550,65,125,100,55,70,85,False,False,False
128,tauros,172,14,884,75,100,95,40,70,110,False,False,False
129,magikarp,40,9,100,20,10,55,15,20,80,False,False,False
130,gyarados,189,65,2350,95,125,79,60,100,81,False,False,False
131,lapras,187,25,2200,130,85,80,85,95,60,False,False,False
132,ditto,101,3,40,48,48,48,48,48,48,False,False,False
133,eevee,65,3,65,55,55,50,45,65,55,False,False,False
134,vaporeon,184,10,290,130,65,60,110,95,65,False,False,False
135,jolteon,184,8,245,65,65,60,110,95,130,False,False,False
136,flareon,184,9,250,65,130,60,95,110,65,False,False,False
137,porygon,79,8,365,65,60,70,85,75,40,False,False,False
138,omanyte,71,4,75,35,40,100,90,55,35,False,False,False
139,omastar,173,10,350,70,60,125,115,70,55,False,False,False
140,kabuto,71,5,115,30,80,90,55,45,55,False,False,False
141,kabutops,173,13,405,60,115,105,65,70,80,False,False,False
142,aerodactyl,180,18,590,80,105,65,60,75,130,False,False,False
143,snorlax,189,21,4600,160,110,65,65,110,30,False,False,False
144,articuno,261,17,554,90,85,100,95,125,85,False,False,True
145,zapdos,261,16,526,90,90,85,125,90,100,False,False,True
146,moltres,261,20,600,90,100,90,125,85,90,False,False,True
147,dratini,60,18,33,41,64,45,50,50,50,False,False,False
148,dragonair,147,40,165,61,84,65,70,70,70,False,False,False
149,dragonite,270,22,2100,91,134,95,100,100,80,False,False,False
150,mewtwo,306,20,1220,106,110,90,154,90,130,False,False,True
151,mew,270,4,40,100,100,100,100,100,100,False,True,False
152,chikorita,64,9,64,45,49,65,49,65,45,False,False,False
153,bayleef,142,12,158,60,62,80,63,80,60,False,False,False
154,meganium,236,18,1005,80,82,100,83,100,80,False,False,False
155,cyndaquil,62,5,79,39,52,43,60,50,65,False,False,False
156,quilava,142,9,190,58,64,58,80,65,80,False,False,False
157,typhlosion,240,17,795,78,84,78,109,85,100,False,False,False
158,totodile,63,6,95,50,65,64,44,48,43,False,False,False
159,croconaw,142,11,250,65,80,80,59,63,58,False,False,False
160,feraligatr,239,23,888,85,105,100,79,83,78,False,False,False
161,sentret,43,8,60,35,46,34,35,45,20,False,False,False
162,furret,145,18,325,85,76,64,45,55,90,False,False,False
163,hoothoot,52,7,212,60,30,30,36,56,50,False,False,False
164,noctowl,158,16,408,100,50,50,86,96,70,False,False,False
165,ledyba,53,10,108,40,20,30,40,80,55,False,False,False
166,ledian,137,14,356,55,35,50,55,110,85,False,False,False
167,spinarak,50,5,85,40,60,40,40,40,30,False,False,False
168,ariados,140,11,335,70,90,70,60,70,40,False,False,False
169,crobat,241,18,750,85,90,80,70,80,130,False,False,False
170,chinchou,66,5,120,75,38,38,56,56,67,False,False,False
171,lanturn,161,12,225,125,58,58,76,76,67,False,False,False
172,pichu,41,3,20,20,40,15,35,35,60,True,False,False
173,cleffa,44,3,30,50,25,28,45,55,15,True,False,False
174,igglybuff,42,3,10,90,30,15,40,20,15,True,False,False
175,togepi,49,3,15,35,20,65,40,65,20,True,False,False
176,togetic,142,6,32,55,40,85,80,105,40,False,False,False
177,natu,64,2,20,40,50,45,70,45,70,False,False,False
178,xatu,165,15,150,65,75,70,95,70,95,False,False,False
179,mareep,56,6,78,55,40,40,65,45,35,False,False,False
180,flaaffy,128,8,133,70,55,55,80,60,45,False,False,False
181,ampharos,230,14,615,90,75,85,115,90,55,False,False,False
182,bellossom,221,4,58,75,80,95,90,100,50,False,False,False
183,marill,88,4,85,70,20,50,20,50,40,False,False,False
184,azumarill,189,8,285,100,50,80,60,80,50,False,False,False
185,sudowoodo,144,12,380,70,100,115,30,65,30,False,False,False
186,politoed,225,11,339,90,75,75,90,100,70,False,False,False
187,hoppip,50,4,5,35,35,40,35,55,50,False,False,False
188,skiploom,119,6,10,55,45,50,45,65,80,False,False,False
189,jumpluff,207,8,30,75,55,70,55,95,110,False,False,False
190,aipom,72,8,115,55,70,55,40,55,85,False,False,False
191,sunkern,36,3,18,30,30,30,30,30,30,False,False,False
192,sunflora,149,8,85,75,75,55,105,85,30,False,False,False
193,yanma,78,12,380,65,65,45,75,45,95,False,False,False
194,wooper,42,4,85,55,45,45,25,25,15,False,False,False
195,quagsire,151,14,750,95,85,85,65,65,35,False,False,False
196,espeon,184,9,265,65,65,60,130,95,110,False,False,False
197,umbreon,184,10,270,95,65,110,60,130,65,False,False,False
198,murkrow,81,5,21,60,85,42,85,42,91,False,False,False
199,slowking,172,20,795,95,75,80,100,110,30,False,False,False
200,misdreavus,87,7,10,60,60,60,85,85,85,False,False,False
201,unown,118,5,50,48,72,48,72,48,48,False,False,False
202,wobbuffet,142,13,285,190,33,58,33,58,33,False,False,False
203,girafarig,159,15,415,70,80,65,90,65,85,False,False,False
204,pineco,58,6,72,50,65,90,35,35,15,False,False,False
205,forretress,163,12,1258,75,90,140,60,60,40,False,False,False
206,dunsparce,145,15,140,100,70,70,65,65,45,False,False,False
207,gligar,86,11,648,65,75,105,35,65,85,False,False,False
208,steelix,179,92,4000,75,85,200,55,65,30,False,False,False
209,snubbull,60,6,78,60,80,50,40,40,30,False,False,False
210,granbull,158,14,487,90,120,75,60,60,45,False,False,False
211,qwilfish,88,5,39,65,95,85,55,55,85,False,False,False
212,scizor,175,18,1180,70,130,100,55,80,65,False,False,False
213,shuckle,177,6,205,20,10,230,10,230,5,False,False,False
214,heracross,175,15,540,80,125,75,40,95,85,False,False,False
215,sneasel,86,9,280,55,95,55,35,75,115,False,False,False
216,teddiursa,66,6,88,60,80,50,50,50,40,False,False,False
217,ursaring,175,18,1258,90,130,75,75,75,55,False,False,False
218,slugma,50,7,350,40,40,40,70,40,20,False,False,False
219,magcargo,151,8,550,60,50,120,90,80,30,False,False,False
220,swinub,50,4,65,50,50,40,30,30,50,False,False,False
221,piloswine,158,11,558,100,100,80,60,60,50,False,False,False
222,corsola,144,6,50,65,55,95,65,95,35,False,False,False
223,remoraid,60,6,120,35,65,35,65,35,65,False,False,False
224,octillery,168,9,285,75,105,75,105,75,45,False,False,False
225,delibird,116,9,160,45,55,45,65,45,75,False,False,False
226,mantine,170,21,2200,85,40,70,80,140,70,False,False,False
227,skarmory,163,17,505,65,80,140,40,70,70,False,False,False
228,houndour,66,6,108,45,60,30,80,50,65,False,False,False
229,houndoom,175,14,350,75,90,50,110,80,95,False,False,False
230,kingdra,243,18,1520,75,95,95,95,95,85,False,False,False
231,phanpy,66,5,335,90,60,60,40,40,40,False,False,False
232,donphan,175,11,1200,90,120,120,60,60,50,False,False,False
233,porygon2,180,6,325,85,80,90,105,95,60,False,False,False
234,stantler,163,14,712,73,95,62,85,65,85,False,False,False
235,smeargle,88,12,580,55,20,35,20,45,75,False,False,False
236,tyrogue,42,7,210,35,35,35,35,35,35,True,False,False
237,hitmontop,159,14,480,50,95,95,35,110,70,False,False,False
238,smoochum,61,4,60,45,30,15,85,65,65,True,False,False
239,elekid,72,6,235,45,63,37,65,55,95,True,False,False
240,magby,73,7,214,45,75,37,70,55,83,True,False,False
241,miltank,172,12,755,95,80,105,40,70,100,False,False,False
242,blissey,608,15,468,255,10,10,75,135,55,False,False,False
243,raikou,261,19,1780,90,85,75,115,100,115,False,False,True
244,entei,261,21,1980,115,115,85,90,75,100,False,False,True
245,suicune,261,20,1870,100,75,115,90,115,85,False,False,True
246,larvitar,60,6,720,50,64,50,45,50,41,False,False,False
247,pupitar,144,12,1520,70,84,70,65,70,51,False,False,False
248,tyranitar,270,20,2020,100,134,110,95,100,61,False,False,False
249,lugia,306,52,2160,106,90,130,90,154,110,False,False,True
250,ho-oh,306,38,1990,106,130,90,110,154,90,False,False,True
251,celebi,270,6,50,100,100,100,100,100,100,False,True,False
252,treecko,62,5,50,40,45,35,65,55,70,False,False,False
253,grovyle,142,9,216,50,65,45,85,65,95,False,False,False
254,sceptile,239,17,522,70,85,65,105,85,120,False,False,False
255,torchic,62,4,25,45,60,40,70,50,45,False,False,False
256,combusken,142,9,195,60,85,60,85,60,55,False,False,False
257,blaziken,239,19,520,80,120,70,110,70,80,False,False,False
258,mudkip,62,4,76,50,70,50,50,50,40,False,False,False
259,marshtomp,142,7,280,70,85,70,60,70,50,False,False,False
260,swampert,241,15,819,100,110,90,85,90,60,False,False,False
261,poochyena,56,5,136,35,55,35,30,30,35,False,False,False
262,mightyena,147,10,370,70,90,70,60,60,70,False,False,False
263,zigzagoon,56,4,175,38,30,41,30,41,60,False,False,False
264,linoone,147,5,325,78,70,61,50,61,100,False,False,False
265,wurmple,56,3,36,45,45,35,20,30,20,False,False,False
266,silcoon,72,6,100,50,35,55,25,25,15,False,False,False
267,beautifly,178,10,284,60,70,50,100,50,65,False,False,False
268,cascoon,72,7,115,50,35,55,25,25,15,False,False,False
269,dustox,173,12,316,60,50,70,50,90,65,False,False,False
270,lotad,44,5,26,40,30,30,40,50,30,False,False,False
271,lombre,119,12,325,60,50,50,60,70,50,False,False,False
272,ludicolo,216,15,550,80,70,70,90,100,70,False,False,False
273,seedot,44,5,40,40,40,50,30,30,30,False,False,False
274,nuzleaf,119,10,280,70,70,40,60,40,60,False,False,False
275,shiftry,216,13,596,90,100,60,90,60,80,False,False,False
276,taillow,54,3,23,40,55,30,30,30,85,False,False,False
277,swellow,159,7,198,60,85,60,75,50,125,False,False,False
278,wingull,54,6,95,40,30,30,55,30,85,False,False,False
279,pelipper,154,12,280,60,50,100,95,70,65,False,False,False
280,ralts,40,4,66,28,25,25,45,35,40,False,False,False
281,kirlia,97,8,202,38,35,35,65,55,50,False,False,False
282,gardevoir,233,16,484,68,65,65,125,115,80,False,False,False
283,surskit,54,5,17,40,30,32,50,52,65,False,False,False
284,masquerain,159,8,36,70,60,62,100,82,80,False,False,False
285,shroomish,59,4,45,60,40,60,40,60,35,False,False,False
286,breloom,161,12,392,60,130,80,60,60,70,False,False,False
287,slakoth,56,8,240,60,60,60,35,35,30,False,False,False
288,vigoroth,154,14,465,80,80,80,55,55,90,False,False,False
289,slaking,252,20,1305,150,160,100,95,65,100,False,False,False
290,nincada,53,5,55,31,45,90,30,30,40,False,False,False
291,ninjask,160,8,120,61,90,45,50,50,160,False,False,False
292,shedinja,83,8,12,1,90,45,30,30,40,False,False,False
293,whismur,48,6,163,64,51,23,51,23,28,False,False,False
294,loudred,126,10,405,84,71,43,71,43,48,False,False,False
295,exploud,221,15,840,104,91,63,91,73,68,False,False,False
296,makuhita,47,10,864,72,60,30,20,30,25,False,False,False
297,hariyama,166,23,2538,144,120,60,40,60,50,False,False,False
298,azurill,38,2,20,50,20,40,20,40,20,True,False,False
299,nosepass,75,10,970,30,45,135,45,90,30,False,False,False
300,skitty,52,6,110,50,45,45,35,35,50,False,False,False
301,delcatty,140,11,326,70,65,65,55,55,90,False,False,False
302,sableye,133,5,110,50,75,75,65,65,50,False,False,False
303,mawile,133,6,115,50,85,85,55,55,50,False,False,False
304,aron,66,4,600,50,70,100,40,40,30,False,False,False
305,lairon,151,9,1200,60,90,140,50,50,40,False,False,False
306,aggron,239,21,3600,70,110,180,60,60,50,False,False,False
307,meditite,56,6,112,30,40,55,40,55,60,False,False,False
308,medicham,144,13,315,60,60,75,60,75,80,False,False,False
309,electrike,59,6,152,40,45,40,65,40,65,False,False,False
310,manectric,166,15,402,70,75,60,105,60,105,False,False,False
311,plusle,142,4,42,60,50,40,85,75,95,False,False,False
312,minun,142,4,42,60,40,50,75,85,95,False,False,False
313,volbeat,151,7,177,65,73,75,47,85,85,False,False,False
314,illumise,151,6,177,65,47,75,73,85,85,False,False,False
315,roselia,140,3,20,50,60,45,100,80,65,False,False,False
316,gulpin,60,4,103,70,43,53,43,53,40,False,False,False
317,swalot,163,17,800,100,73,83,73,83,55,False,False,False
318,carvanha,61,8,208,45,90,20,65,20,65,False,False,False
319,sharpedo,161,18,888,70,120,40,95,40,95,False,False,False
320,wailmer,80,20,1300,130,70,35,70,35,60,False,False,False
321,wailord,175,145,3980,170,90,45,90,45,60,False,False,False
322,numel,61,7,240,60,60,40,65,45,35,False,False,False
323,camerupt,161,19,2200,70,100,70,105,75,40,False,False,False
324,torkoal,165,5,804,70,85,140,85,70,20,False,False,False
325,spoink,66,7,306,60,25,35,70,80,60,False,False,False
326,grumpig,165,9,715,80,45,65,90,110,80,False,False,False
327,spinda,126,11,50,60,60,60,60,60,60,False,False,False
328,trapinch,58,7,150,45,100,45,45,45,10,False,False,False
329,vibrava,119,11,153,50,70,50,50,50,70,False,False,False
330,flygon,234,20,820,80,100,80,80,80,100,False,False,False
331,cacnea,67,4,513,50,85,40,85,40,35,False,False,False
332,cacturne,166,13,774,70,115,60,115,60,55,False,False,False
333,swablu,62,4,12,45,40,60,40,75,50,False,False,False
334,altaria,172,11,206,75,70,90,70,105,80,False,False,False
335,zangoose,160,13,403,73,115,60,60,60,90,False,False,False
336,seviper,160,27,525,73,100,60,100,60,65,False,False,False
337,lunatone,161,10,1680,90,55,65,95,85,70,False,False,False
338,solrock,161,12,1540,90,95,85,55,65,70,False,False,False
339,barboach,58,4,19,50,48,43,46,41,60,False,False,False
340,whiscash,164,9,236,110,78,73,76,71,60,False,False,False
341,corphish,62,6,115,43,80,65,50,35,35,False,False,False
342,crawdaunt,164,11,328,63,120,85,90,55,55,False,False,False
343,baltoy,60,5,215,40,40,55,40,70,55,False,False,False
344,claydol,175,15,1080,60,70,105,70,120,75,False,False,False
345,lileep,71,10,238,66,41,77,61,87,23,False,False,False
346,cradily,173,15,604,86,81,97,81,107,43,False,False,False
347,anorith,71,7,125,45,95,50,40,50,75,False,False,False
348,armaldo,173,15,682,75,125,100,70,80,45,False,False,False
349,feebas,40,6,74,20,15,20,10,55,80,False,False,False
350,milotic,189,62,1620,95,60,79,100,125,81,False,False,False
351,castform,147,3,8,70,70,70,70,70,70,False,False,False
352,kecleon,154,10,220,60,90,70,60,120,40,False,False,False
353,shuppet,59,6,23,44,75,35,63,33,45,False,False,False
354,banette,159,11,125,64,115,65,83,63,65,False,False,False
355,duskull,59,8,150,20,40,90,30,90,25,False,False,False
356,dusclops,159,16,306,40,70,130,60,130,25,False,False,False
357,tropius,161,20,1000,99,68,83,72,87,51,False,False,False
358,chimecho,159,6,10,75,50,80,95,90,65,False,False,False
359,absol,163,12,470,65,130,60,75,60,75,False,False,False
360,wynaut,52,6,140,95,23,48,23,48,23,True,False,False
361,snorunt,60,7,168,50,50,50,50,50,50,False,False,False
362,glalie,168,15,2565,80,80,80,80,80,80,False,False,False
363,spheal,58,8,395,70,40,50,55,50,25,False,False,False
364,sealeo,144,11,876,90,60,70,75,70,45,False,False,False
365,walrein,239,14,1506,110,80,90,95,90,65,False,False,False
366,clamperl,69,4,525,35,64,85,74,55,32,False,False,False
367,huntail,170,17,270,55,104,105,94,75,52,False,False,False
368,gorebyss,170,18,226,55,84,105,114,75,52,False,False,False
369,relicanth,170,10,234,100,90,130,45,65,55,False,False,False
370,luvdisc,116,6,87,43,30,55,40,65,97,False,False,False
371,bagon,60,6,421,45,75,60,40,30,50,False,False,False
372,shelgon,147,11,1105,65,95,100,60,50,50,False,False,False
373,salamence,270,15,1026,95,135,80,110,80,100,False,False,False
374,beldum,60,6,952,40,55,80,35,60,30,False,False,False
375,metang,147,12,2025,60,75,100,55,80,50,False,False,False
376,metagross,270,16,5500,80,135,130,95,90,70,False,False,False
377,regirock,261,17,2300,80,100,200,50,100,50,False,False,True
378,regice,261,18,1750,80,50,100,100,200,50,False,False,True
379,registeel,261,19,2050,80,75,150,75,150,50,False,False,True
380,latias,270,14,400,80,80,90,110,130,110,False,False,True
381,latios,270,20,600,80,90,80,130,110,110,False,False,True
382,kyogre,302,45,3520,100,100,90,150,140,90,False,False,True
383,groudon,302,35,9500,100,150,140,100,90,90,False,False,True
384,rayquaza,306,70,2065,105,150,90,150,90,95,False,False,True
385,jirachi,270,3,11,100,100,100,100,100,100,False,True,False
386,deoxys-normal,270,17,608,50,150,50,150,50,150,False,True,False
387,turtwig,64,4,102,55,68,64,45,55,31,False,False,False
388,grotle,142,11,970,75,89,85,55,65,36,False,False,False
389,torterra,236,22,3100,95,109,105,75,85,56,False,False,False
390,chimchar,62,5,62,44,58,44,58,44,61,False,False,False
391,monferno,142,9,220,64,78,52,78,52,81,False,False,False
392,infernape,240,12,550,76,104,71,104,71,108,False,False,False
393,piplup,63,4,52,53,51,53,61,56,40,False,False,False
394,prinplup,142,8,230,64,66,68,81,76,50,False,False,False
395,empoleon,239,17,845,84,86,88,111,101,60,False,False,False
396,starly,49,3,20,40,55,30,30,30,60,False,False,False
397,staravia,119,6,155,55,75,50,40,40,80,False,False,False
398,staraptor,218,12,249,85,120,70,50,60,100,False,False,False
399,bidoof,50,5,200,59,45,40,35,40,31,False,False,False
400,bibarel,144,10,315,79,85,60,55,60,71,False,False,False
401,kricketot,39,3,22,37,25,41,25,41,25,False,False,False
402,kricketune,134,10,255,77,85,51,55,51,65,False,False,False
403,shinx,53,5,95,45,65,34,40,34,45,False,False,False
404,luxio,127,9,305,60,85,49,60,49,60,False,False,False
405,luxray,235,14,420,80,120,79,95,79,70,False,False,False
406,budew,56,2,12,40,30,35,50,70,55,True,False,False
407,roserade,232,9,145,60,70,65,125,105,90,False,False,False
408,cranidos,70,9,315,67,125,40,30,30,58,False,False,False
409,rampardos,173,16,1025,97,165,60,65,50,58,False,False,False
410,shieldon,70,5,570,30,42,118,42,88,30,False,False,False
411,bastiodon,173,13,1495,60,52,168,47,138,30,False,False,False
412,burmy,45,2,34,40,29,45,29,45,36,False,False,False
413,wormadam-plant,148,5,65,60,59,85,79,105,36,False,False,False
414,mothim,148,9,233,70,94,50,94,50,66,False,False,False
415,combee,49,3,55,30,30,42,30,42,70,False,False,False
416,vespiquen,166,12,385,70,80,102,80,102,40,False,False,False
417,pachirisu,142,4,39,60,45,70,45,90,95,False,False,False
418,buizel,66,7,295,55,65,35,60,30,85,False,False,False
419,floatzel,173,11,335,85,105,55,85,50,115,False,False,False
420,cherubi,55,4,33,45,35,45,62,53,35,False,False,False
421,cherrim,158,5,93,70,60,70,87,78,85,False,False,False
422,shellos,65,3,63,76,48,48,57,62,34,False,False,False
423,gastrodon,166,9,299,111,83,68,92,82,39,False,False,False
424,ambipom,169,12,203,75,100,66,60,66,115,False,False,False
425,drifloon,70,4,12,90,50,34,60,44,70,False,False,False
426,drifblim,174,12,150,150,80,44,90,54,80,False,False,False
427,buneary,70,4,55,55,66,44,44,56,85,False,False,False
428,lopunny,168,12,333,65,76,84,54,96,105,False,False,False
429,mismagius,173,9,44,60,60,60,105,105,105,False,False,False
430,honchkrow,177,9,273,100,125,52,105,52,71,False,False,False
431,glameow,62,5,39,49,55,42,42,37,85,False,False,False
432,purugly,158,10,438,71,82,64,64,59,112,False,False,False
433,chingling,57,2,6,45,30,50,65,50,45,True,False,False
434,stunky,66,4,192,63,63,47,41,41,74,False,False,False
435,skuntank,168,10,380,103,93,67,71,61,84,False,False,False
436,bronzor,60,5,605,57,24,86,24,86,23,False,False,False
437,bronzong,175,13,1870,67,89,116,79,116,33,False,False,False
438,bonsly,58,5,150,50,80,95,10,45,10,True,False,False
439,mime-jr,62,6,130,20,25,45,70,90,60,True,False,False
440,happiny,110,6,244,100,5,5,15,65,30,True,False,False
441,chatot,144,5,19,76,65,45,92,42,91,False,False,False
442,spiritomb,170,10,1080,50,92,108,92,108,35,False,False,False
443,gible,60,7,205,58,70,45,40,45,42,False,False,False
444,gabite,144,14,560,68,90,65,50,55,82,False,False,False
445,garchomp,270,19,950,108,130,95,80,85,102,False,False,False
446,munchlax,78,6,1050,135,85,40,40,85,5,True,False,False
447,riolu,57,7,202,40,70,40,35,40,60,True,False,False
448,lucario,184,12,540,70,110,70,115,70,90,False,False,False
449,hippopotas,66,8,495,68,72,78,38,42,32,False,False,False
450,hippowdon,184,20,3000,108,112,118,68,72,47,False,False,False
451,skorupi,66,8,120,40,50,90,30,55,65,False,False,False
